rank,company,ticker,cik,fiscal_year,current_federal,current_state,current_foreign,total_current,deferred_federal,deferred_state,deferred_foreign,total_deferred,total_tax_expense,pretax_income,effective_tax_rate,cash_taxes_paid
1,Walmart Inc.,WMT,0000104169,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,152.00",0.00,10.00%,0.00
1,Walmart Inc.,WMT,0000104169,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,578.00",0.00,0.00%,0.00
1,Walmart Inc.,WMT,0000104169,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,724.00",0.00,0.00%,0.00
2,Amazon.com Inc.,AMZN,0001018724,2024,"9,039.00","2,109.00","2,765.00","13,913.00","-4,101.00",-453.00,-94.00,"-4,648.00","9,265.00",0.00,0.00%,0.00
2,Amazon.com Inc.,AMZN,0001018724,2023,"8,652.00","2,158.00","2,186.00","12,996.00","-5,505.00",-498.00,127.00,"-5,876.00","7,120.00",0.00,0.00%,0.00
2,Amazon.com Inc.,AMZN,0001018724,2022,"2,175.00","1,074.00","1,682.00","4,931.00","-6,686.00","-1,302.00",-160.00,"-8,148.00","-3,217.00",0.00,0.00%,0.00
3,Apple Inc.,AAPL,0000320193,2025,"11,487.00","1,680.00","8,891.00","22,058.00","-1,804.00",-139.00,604.00,"-1,339.00","20,719.00",0.00,43.00%,0.00
3,Apple Inc.,AAPL,0000320193,2024,"5,571.00","1,726.00","25,483.00","32,780.00","-3,080.00",-298.00,347.00,"-3,031.00","29,749.00",0.00,0.00%,0.00
3,Apple Inc.,AAPL,0000320193,2023,"9,445.00","1,570.00","8,750.00","19,765.00","-3,644.00",-49.00,669.00,"-3,024.00","16,741.00",0.00,0.00%,0.00
4,UnitedHealth Group Inc.,UNH,0000731766,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,829.00",0.00,21.00%,0.00
4,UnitedHealth Group Inc.,UNH,0000731766,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,968.00",0.00,0.00%,0.00
4,UnitedHealth Group Inc.,UNH,0000731766,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,704.00",0.00,0.00%,0.00
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90%,0.00
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
6,CVS Health Corp.,CVS,0000064803,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
6,CVS Health Corp.,CVS,0000064803,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
6,CVS Health Corp.,CVS,0000064803,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8,Alphabet Inc.,GOOGL,0001652044,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,697.00",0.00,0.00%,0.00
8,Alphabet Inc.,GOOGL,0001652044,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,922.00",0.00,0.00%,0.00
8,Alphabet Inc.,GOOGL,0001652044,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,356.00",0.00,0.00%,0.00
9,McKesson Corp.,MCK,0000927653,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.00,0.00,0.00%,0.00
9,McKesson Corp.,MCK,0000927653,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,629.00,0.00,0.00%,0.00
9,McKesson Corp.,MCK,0000927653,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,905.00,0.00,0.00%,0.00
10,Cencora Inc.,COR,0001140859,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"690,522.00",0.00,36.00%,0.00
10,Cencora Inc.,COR,0001140859,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"484,702.00",0.00,0.00%,0.00
10,Cencora Inc.,COR,0001140859,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"428,260.00",0.00,0.00%,0.00
11,Costco Wholesale Corp.,COST,0000909832,2025,"1,395.00",449.00,955.00,"2,799.00",-42.00,-18.00,-20.00,-80.00,"2,719.00",0.00,0.00%,0.00
11,Costco Wholesale Corp.,COST,0000909832,2024,"1,245.00",431.00,798.00,"2,474.00",48.00,-77.00,-72.00,-101.00,"2,373.00",0.00,0.00%,0.00
11,Costco Wholesale Corp.,COST,0000909832,2023,"1,056.00",374.00,732.00,"2,162.00",33.00,10.00,-10.00,33.00,"2,195.00",0.00,0.00%,0.00
12,Microsoft Corp.,MSFT,0000789019,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,795.00",0.00,18.00%,0.00
12,Microsoft Corp.,MSFT,0000789019,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,651.00",0.00,0.00%,0.00
12,Microsoft Corp.,MSFT,0000789019,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,950.00",0.00,0.00%,0.00
13,Cigna Group,CI,0001739940,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
