rank,company,ticker,cik,fiscal_year,executive_name,title,salary,bonus,stock_awards,option_awards,non_equity_incentive,pension_change,other_comp,total_comp
1,Walmart Inc.,WMT,0000104169,2025,Doug McMillonPresident and CEO,,"1,511,539.00",0.00,0.00,0.00,"20,375,675.00",0.00,"4,356,000.00","783,745.00"
1,Walmart Inc.,WMT,0000104169,2024,Doug McMillonPresident and CEO,,"1,505,769.00",0.00,0.00,0.00,"19,608,750.00",0.00,"4,500,000.00","1,133,111.00"
1,Walmart Inc.,WMT,0000104169,2023,Doug McMillonPresident and CEO,,"1,471,569.00",0.00,0.00,0.00,"19,411,326.00",0.00,"3,032,667.00","1,191,571.00"
1,Walmart Inc.,WMT,0000104169,2025,John David RaineyChief Financial Officer,,"1,033,654.00",0.00,0.00,0.00,"9,964,587.00",0.00,"2,234,236.00",0.00
1,Walmart Inc.,WMT,0000104169,2024,John David RaineyChief Financial Officer,,"1,003,846.00",0.00,0.00,0.00,"9,108,093.00",0.00,"1,875,000.00",0.00
1,Walmart Inc.,WMT,0000104169,2023,John David RaineyChief Financial Officer,,"700,000.00",0.00,"5,000,000.00",0.00,"32,651,678.00",0.00,"899,181.00",0.00
1,Walmart Inc.,WMT,0000104169,2025,Suresh KumarGlobal Chief Technology and Development Officer,,"1,138,750.00",0.00,0.00,0.00,"12,264,141.00",0.00,"2,461,408.00","10,124.00"
1,Walmart Inc.,WMT,0000104169,2024,Suresh KumarGlobal Chief Technology and Development Officer,,"1,104,231.00",0.00,0.00,0.00,"10,831,244.00",0.00,"2,475,000.00","15,056.00"
1,Walmart Inc.,WMT,0000104169,2023,Suresh KumarGlobal Chief Technology and Development Officer,,"1,096,825.00",0.00,0.00,0.00,"13,130,922.00",0.00,"1,694,495.00","10,897.00"
1,Walmart Inc.,WMT,0000104169,2025,"John FurnerPresident and CEO,Walmart U.S.",,"1,315,866.00",0.00,0.00,0.00,"11,753,111.00",0.00,"2,820,836.00","192,758.00"
1,Walmart Inc.,WMT,0000104169,2024,"John FurnerPresident and CEO,Walmart U.S.",,"1,254,808.00",0.00,0.00,0.00,"10,831,244.00",0.00,"2,812,500.00","259,596.00"
1,Walmart Inc.,WMT,0000104169,2023,"John FurnerPresident and CEO,Walmart U.S.",,"1,223,704.00",0.00,0.00,0.00,"10,692,394.00",0.00,"1,594,915.00","245,766.00"
1,Walmart Inc.,WMT,0000104169,2025,"Kath McLayPresident and CEO, Walmart International",,"1,128,846.00",0.00,0.00,0.00,"11,242,077.00",0.00,"2,379,925.00","12,236.00"
1,Walmart Inc.,WMT,0000104169,2024,"Kath McLayPresident and CEO, Walmart International",,"1,003,846.00",0.00,0.00,0.00,"10,339,072.00",0.00,"2,000,466.00","15,623.00"
1,Walmart Inc.,WMT,0000104169,2023,"Kath McLayPresident and CEO, Walmart International",,"973,771.00",0.00,0.00,0.00,"8,742,164.00",0.00,"1,882,901.00","11,408.00"
1,Walmart Inc.,WMT,0000104169,2025,"Chris NicholasPresident and CEO, Sam’s Club U.S.",,"899,808.00",0.00,0.00,0.00,"8,176,066.00",0.00,"2,009,324.00","7,071.00"
1,Walmart Inc.,WMT,0000104169,2024,"Chris NicholasPresident and CEO, Sam’s Club U.S.",,"805,471.00",0.00,0.00,0.00,"10,405,147.00",0.00,"1,317,484.00","2,499.00"
2,Amazon.com Inc.,AMZN,0001018724,2023,Andrew R. Jassy,President and Chief Executive Officer,"365,000.00",0.00,0.00,0.00,0.00,0.00,"992,764.00","1,357,764.00"
2,Amazon.com Inc.,AMZN,0001018724,2022,Andrew R. Jassy,President and Chief Executive Officer,"317,500.00",0.00,0.00,0.00,0.00,0.00,"981,223.00","1,298,723.00"
2,Amazon.com Inc.,AMZN,0001018724,2023,Jeffrey P. Bezos,Founder and Executive Chair,"81,840.00",0.00,0.00,0.00,0.00,0.00,"1,600,000.00","1,681,840.00"
2,Amazon.com Inc.,AMZN,0001018724,2022,Jeffrey P. Bezos,Founder and Executive Chair,"81,840.00",0.00,0.00,0.00,0.00,0.00,"1,600,000.00","1,681,840.00"
2,Amazon.com Inc.,AMZN,0001018724,2023,Brian T. Olsavsky,SVP and Chief Financial Officer,"365,000.00",0.00,0.00,0.00,0.00,0.00,"6,600.00","371,600.00"
2,Amazon.com Inc.,AMZN,0001018724,2022,Brian T. Olsavsky,SVP and Chief Financial Officer,"313,750.00","17,861,193.00",0.00,0.00,0.00,0.00,"6,100.00","18,181,043.00"
2,Amazon.com Inc.,AMZN,0001018724,2023,Douglas J. Herrington,CEO Worldwide Amazon Stores,"365,000.00",0.00,0.00,0.00,0.00,0.00,"29,231.00","394,231.00"
2,Amazon.com Inc.,AMZN,0001018724,2022,Douglas J. Herrington,CEO Worldwide Amazon Stores,"309,997.00","42,880,341.00",0.00,0.00,0.00,0.00,"25,441.00","43,215,779.00"
2,Amazon.com Inc.,AMZN,0001018724,2023,David A. Zapolsky,"SVP, Chief Global Affairs & Legal Officer","365,000.00",0.00,0.00,0.00,0.00,0.00,"6,600.00","371,600.00"
2,Amazon.com Inc.,AMZN,0001018724,2022,David A. Zapolsky,"SVP, Chief Global Affairs & Legal Officer","313,750.00","17,861,193.00",0.00,0.00,0.00,0.00,"6,100.00","18,181,043.00"
2,Amazon.com Inc.,AMZN,0001018724,2023,Adam N. Selipsky,Former CEO Amazon Web Services(6),"365,000.00",0.00,0.00,0.00,0.00,0.00,"58,236.00","423,236.00"
2,Amazon.com Inc.,AMZN,0001018724,2022,Adam N. Selipsky,Former CEO Amazon Web Services(6),"317,500.00","40,752,682.00",0.00,0.00,0.00,0.00,"43,113.00","41,113,295.00"
3,Apple Inc.,AAPL,0000320193,2024,Tim Cook,Chief Executive Officer,"3,000,000.00",0.00,"58,088,946.00",0.00,"12,000,000.00",0.00,"1,520,856.00","74,609,802.00"
3,Apple Inc.,AAPL,0000320193,2023,Tim Cook,Chief Executive Officer,"3,000,000.00",0.00,"46,970,283.00",0.00,"10,713,450.00",0.00,"2,526,112.00","63,209,845.00"
3,Apple Inc.,AAPL,0000320193,2022,Tim Cook,Chief Executive Officer,"3,000,000.00",0.00,"82,994,164.00",0.00,"12,000,000.00",0.00,"1,425,933.00","99,420,097.00"
